,AAPL,ABC,AMZN,ANTM,BA,BAC,CAH,COST,CVS,CVX,DWDP,F,GE,GM,GOOGL,HD,JPM,KR,MCK,MSFT,PCAR,PSX,T,UNH,UNP,VZ,WBA,WFC,WMT,XOM
2023-03-31 11:36:00-04:00,163.11000061035156,159.5500030517578,103.16000366210938,,212.47500610351562,28.44499969482422,75.1500015258789,496.8999938964844,74.48999786376953,163.08999633789062,,12.487099647521973,95.3499984741211,36.5,102.66580200195312,289.4800109863281,129.7550048828125,49.37049865722656,,284.6099853515625,72.80000305175781,99.82990264892578,19.1200008392334,474.9549865722656,200.7050018310547,38.85499954223633,34.53499984741211,37.47999954223633,147.38499450683594,109.7300033569336
2023-03-31 11:37:00-04:00,163.0800018310547,159.5399932861328,103.05500030517578,,212.4199981689453,28.43000030517578,75.1500015258789,497.0899963378906,74.51499938964844,163.11000061035156,,12.484999656677246,95.38500213623047,36.51300048828125,102.6500015258789,289.3999938964844,129.71499633789062,49.35499954223633,358.3500061035156,284.510009765625,72.79000091552734,99.86000061035156,19.114999771118164,475.1942138671875,200.72999572753906,38.859901428222656,34.525001525878906,37.45500183105469,147.3699951171875,109.7699966430664
2023-03-31 11:38:00-04:00,163.15809631347656,159.6199951171875,103.08999633789062,,212.41000366210938,28.475000381469727,75.16500091552734,497.2699890136719,74.51000213623047,163.11000061035156,,12.484999656677246,95.38999938964844,36.52899932861328,102.72000122070312,289.3500061035156,129.8800048828125,49.345001220703125,358.510009765625,284.6400146484375,72.79000091552734,99.94000244140625,19.12779998779297,475.1400146484375,200.55999755859375,38.86940002441406,34.509498596191406,37.529998779296875,147.4149932861328,109.7699966430664
2023-03-31 11:39:00-04:00,163.12030029296875,159.47999572753906,103.05000305175781,,212.443603515625,28.454999923706055,75.12999725341797,497.1499938964844,74.5,163.19000244140625,,12.480999946594238,95.41999816894531,36.529998779296875,102.5999984741211,289.42999267578125,129.85000610351562,49.349998474121094,,284.54998779296875,72.80999755859375,100.04000091552734,19.114999771118164,474.95001220703125,200.63499450683594,38.84700012207031,34.5099983215332,37.52000045776367,147.35000610351562,109.83000183105469
2023-03-31 11:40:00-04:00,163.17999267578125,159.5050048828125,103.09500122070312,,212.5500030517578,28.45240020751953,75.12999725341797,497.0400085449219,74.57499694824219,163.22000122070312,,12.484999656677246,95.43000030517578,36.54999923706055,102.61000061035156,289.45001220703125,129.80999755859375,49.36000061035156,,284.69000244140625,72.80999755859375,100.04499816894531,19.1200008392334,474.9599914550781,200.61000061035156,38.8650016784668,34.525001525878906,37.5099983215332,147.41000366210938,109.86000061035156
2023-03-31 11:41:00-04:00,163.1300048828125,159.5749969482422,103.08999633789062,,212.49000549316406,28.44499969482422,75.12000274658203,497.0899963378906,74.57499694824219,163.24000549316406,,12.484999656677246,95.40190124511719,36.529998779296875,102.61000061035156,289.3399963378906,129.7899932861328,49.3650016784668,,284.6000061035156,72.80999755859375,100.11000061035156,19.1200008392334,475.010009765625,200.55499267578125,38.86000061035156,34.52000045776367,37.4900016784668,147.36000061035156,109.91999816894531
2023-03-31 11:42:00-04:00,163.1750030517578,159.61500549316406,103.08499908447266,,212.4199981689453,28.443899154663086,75.1500015258789,497.07000732421875,74.61000061035156,163.3000030517578,,12.484999656677246,95.43000030517578,36.51499938964844,102.63860321044922,289.3999938964844,129.72999572753906,49.36000061035156,,284.739990234375,72.81999969482422,100.08000183105469,19.12809944152832,475.0758972167969,200.50999450683594,38.87879943847656,34.525001525878906,37.470001220703125,147.3000030517578,109.94000244140625
2023-03-31 11:43:00-04:00,163.2178955078125,159.68499755859375,103.04000091552734,,212.43499755859375,28.469999313354492,75.16999816894531,496.81439208984375,74.58000183105469,163.32000732421875,,12.489999771118164,95.45999908447266,36.5099983215332,102.59500122070312,289.5,129.76499938964844,49.380001068115234,358.4599914550781,284.6000061035156,72.83999633789062,100.08499908447266,19.125,475.1099853515625,200.7100067138672,38.8650016784668,34.525001525878906,37.45750045776367,147.3000030517578,109.95999908447266
2023-03-31 11:44:00-04:00,163.18679809570312,159.61000061035156,103.22989654541016,,212.5500030517578,28.457599639892578,75.16000366210938,497.044189453125,74.55500030517578,163.38999938964844,,12.489999771118164,95.4800033569336,36.52000045776367,102.61000061035156,289.4800109863281,129.72999572753906,49.36000061035156,358.4599914550781,284.7099914550781,72.8949966430664,100.12000274658203,19.135000228881836,474.79998779296875,200.6699981689453,38.875,34.52669906616211,37.43000030517578,147.33999633789062,109.97000122070312
2023-03-31 11:45:00-04:00,163.2100067138672,159.71499633789062,103.13999938964844,,212.57000732421875,28.450000762939453,75.16000366210938,497.2900085449219,74.58999633789062,163.4199981689453,,12.5,95.45999908447266,36.525001525878906,102.58999633789062,289.4200134277344,129.77000427246094,49.369998931884766,358.55999755859375,284.7200012207031,72.9000015258789,100.12169647216797,19.135000228881836,474.8275146484375,200.75,38.899898529052734,34.54499816894531,37.44219970703125,147.44000244140625,109.95999908447266
