Date,Date2,WY,WYNN,XEL,XLEFF,XOM,XYL,YUM,ZBH,ZION,ZTS,,,
01-09-2017,01-09-2017,25.81193542,134.6304016,42.50980759,0.079599999,58.33436203,58.20571136,69.86523438,106.5600739,38.5212822,60.86880493,,,
01-09-2020,01-09-2020,28.01636887,86.27999878,64.47795105,0.200350001,34.8868103,79.69099426,92.36616516,134.1898346,30.28537178,159.7881775,,,
01-09-2021,01-09-2021,33.57525635,100.9800034,67.39550781,0.181999996,51.03249359,134.5040741,128.5593109,145.0336151,55.3143959,204.6919403,,,
01-09-2022,01-09-2022,33.85268402,59.18000031,74.92978668,0.178000003,93.12036133,91.84470367,113.7387238,106.5616302,54.6644249,159.0720062,,,
01-10-2013,01-10-2013,20.42773056,133.5052185,20.91991234,0.086999997,57.45514679,25.02280617,43.12079239,74.43015289,23.55778694,29.79546738,,,
01-10-2014,01-10-2014,22.97182274,158.6372375,23.85402489,0.086999997,63.77091217,31.33775139,43.93162155,91.80547333,24.17993355,34.48011398,,,
01-10-2015,01-10-2015,20.2539196,46.51790619,28.45201302,0.085000001,52.52674484,29.85310364,50.13108444,86.3044281,23.48671722,39.34581757,,,
01-10-2018,01-10-2018,26.85642815,119.4444504,42.25834656,0.140000001,68.0235672,76.59989929,83.85056305,122.94841,43.83006287,89.28642273,,,
01-10-2019,01-10-2019,24.22436523,108.1024857,59.91010666,0.150099993,57.1672821,73.9358139,106.4207687,126.8440018,39.02934647,122.66716,,,
01-10-2020,01-10-2020,26.20503998,72.06999969,66.61522675,0.128099993,29.31270981,80.50028229,88.20655823,131.4122467,27.39702034,161.740509,,,
01-10-2021,01-10-2021,33.22231674,87.20999908,60.79567719,0.166419998,57.82796478,119.4825668,120.8291473,143.916748,61.58407211,194.528717,,,
01-11-2013,01-11-2013,21.42857933,139.8689575,21.77056122,0.086999997,60.00720596,29.55867195,41.46738815,79.37947083,23.94536018,29.91242599,,,
01-11-2016,01-11-2016,23.19626427,90.47277069,34.34410477,0.082000002,61.41561127,43.7332077,54.59695053,96.11064911,27.78104782,45.4882431,,,
01-11-2017,01-11-2017,29.09352875,142.262146,42.71061325,0.079599999,63.89582062,62.30036163,67.75003815,107.4904022,40.1727066,62.45661163,,,
01-11-2018,01-11-2018,22.93792915,107.3750992,43.46905136,0.193100005,63.94896317,65.51683044,81.59713745,109.9152756,42.07049942,91.80934143,,,
01-11-2019,01-11-2019,26.66013145,121.1530685,58.20366287,0.085000001,57.70619965,76.35575104,93.93950653,131.2205505,44.82425308,123.0403366,,,
01-11-2021,01-11-2021,34.83304214,93.69000244,62.75117493,0.165000007,62.28868103,127.3331451,123.6534424,140.3734741,62.10654449,212.0442505,,,
01-11-2022,01-11-2022,30.22276688,67.86000061,65.90000153,0.165000007,111.0162964,105.2588806,117.6109772,111.8399963,51.19272232,152.7200012,,,
01-12-2014,01-12-2014,25.6328125,154.0040741,26.82892609,0.086999997,63.87855911,34.68162537,47.82695389,101.5637131,23.12750053,42.05356979,,,
01-12-2015,01-12-2015,24.36990166,60.51065445,29.23218346,0.085000001,58.58644104,34.507164,47.0573349,94.35070038,25.99664688,44.8806839,,,
01-12-2016,01-12-2016,24.18384552,91.97480774,32.39409256,0.100000001,64.6185379,48.1722908,56.3961525,92.43333435,34.89660263,47.32700729,,,
01-12-2017,01-12-2017,29.02300835,149.7524414,44.55855179,0.261500001,64.17192078,64.99391937,76.32474518,107.0047455,43.68151093,70.10618591,,,
01-12-2020,01-12-2020,26.64194298,102.3600006,64.75061035,0.132100001,34.88581085,94.9176712,102.6144714,139.8043518,38.02577972,159.3069153,,,
01-12-2021,01-12-2021,35.45472336,76.05999756,62.46903229,0.187529996,57.50862503,117.0769272,120.8962097,115.3394547,60.69851303,218.0601349,,,
01-12-2022,01-12-2022,32.27999878,84.04000092,70.19000244,0.165000007,110.8000031,113.8000031,129.1900024,123.3499985,51.99000168,156.6399994,,,
02-01-2014,02-01-2014,22.08541679,169.1375427,20.91725922,0.086999997,67.09469604,30.39508057,45.46999359,83.48699188,25.01717567,30.40094948,,,
02-01-2015,02-01-2015,26.32539177,129.6369934,28.51721001,0.097999997,64.21057892,34.35683441,44.7179985,102.7834396,24.0013504,41.04890823,,,
02-01-2018,02-01-2018,28.94102287,154.7344208,41.79323578,0.216100007,65.37908173,64.10862732,74.67743683,116.1000137,44.22228622,69.59227753,,,
02-01-2019,02-01-2019,18.37486649,100.2505264,43.57899857,0.193100005,55.80489731,63.38217926,85.1486969,96.54423523,36.98971558,82.40485382,,,
02-01-2020,02-01-2020,26.43034554,142.4050293,57.91170502,0.085000001,59.49298477,77.06021881,96.72929382,141.8702087,47.95232391,131.6788635,,,
02-02-2015,02-02-2015,25.69113541,132.1522522,29.66200066,0.097999997,61.96253586,31.3433857,45.20813751,104.0523758,20.88771057,41.19256973,,,
02-02-2016,02-02-2016,19.2062664,56.15418243,31.96724701,0.060699999,53.36382675,31.95855331,45.99674988,90.2461853,18.41393471,39.91770935,,,
02-02-2017,02-02-2017,24.83959579,90.22369385,35.08114624,0.052000001,61.81129074,45.37362671,59.35099411,109.2029724,36.071064,53.72916794,,,
02-02-2018,02-02-2018,29.2525692,156.8628845,38.88230896,0.253500015,64.99462128,71.25691986,75.62006378,117.7190018,47.2314949,74.57263184,,,
02-02-2021,02-02-2021,29.71125603,106.0999985,61.16804504,0.229000002,41.34648514,95.02524567,102.575882,151.9147186,43.46345901,155.6282654,,,
02-02-2022,02-02-2022,39.23959351,86.12000275,68.16830444,0.190359995,77.54382324,102.8421097,122.8290634,117.4100113,67.4427948,201.0198059,,,
02-03-2015,02-03-2015,25.8755188,126.9320297,27.16714668,0.097999997,61.35570145,32.76330185,50.84594727,110.8169708,23.0352478,44.92441559,,,
02-03-2016,02-03-2016,20.52561569,77.47937775,32.46751022,0.060699999,59.70294571,35.01119995,47.96203995,89.69389343,19.57266617,39.91770935,,,
02-03-2017,02-03-2017,27.26290321,93.26172638,37.1661911,0.052000001,62.26437759,45.62742996,58.93525696,109.5743713,38.89640427,51.48160553,,,
02-03-2018,02-03-2018,28.67001152,154.0343781,37.61477661,0.253199995,58.68399048,69.43241119,73.8189621,109.5398026,47.9919014,78.94328308,,,
02-03-2020,02-03-2020,24.67671585,107.9400024,61.15171432,0.085000001,45.86038589,79.6605835,87.99525452,132.4090118,38.04515457,136.5585327,,,
02-03-2021,02-03-2021,30.93815422,133,56.19456482,0.275000006,51.6692276,99.98208618,101.5549545,154.492981,51.81630325,155.2920685,,,
02-03-2022,02-03-2022,38.7068634,88.62999725,66.17978668,0.197469994,78.31594086,87.28588867,120.2549133,121.9060516,66.88950348,194.9545288,,,
02-04-2013,02-04-2013,21.84136391,101.3286057,21.88216782,0.096000001,59.68666458,23.91061783,41.85440826,67.69231415,20.56722832,30.39082336,,,
02-04-2014,02-04-2014,20.96828842,195.4607849,23.20434189,0.086999997,66.35057831,33.72126389,46.9303093,87.61341858,26.77308083,27.89086151,,,
02-04-2015,02-04-2015,23.99366379,115.3198166,27.70078278,0.093599997,58.74926758,32.41909027,49.59656906,106.933548,23.0352478,44.15525055,,,
02-04-2018,02-04-2018,28.63691711,170.981369,39.63934708,0.266290009,56.87414551,70.93421936,76.99092102,99.79391479,44.97982025,78.87527466,,,
02-04-2019,02-04-2019,22.98715401,130.4300385,50.59230804,0.149800003,65.88924408,76.52784729,93.70581818,120.5779953,42.00165939,99.73008728,,,
02-04-2020,02-04-2020,14.41777992,52.66999817,56.45539856,0.098499998,34.38677597,61.37418365,62.81299973,88.37445068,23.38901901,114.0658264,,,
02-05-2013,02-05-2013,20.90826416,112.3114471,23.13680458,0.086999997,58.40174484,24.10386276,40.82413483,68.0068512,20.71005058,31.13440323,,,
02-05-2014,02-05-2014,21.30269432,190.4939117,23.9491539,0.086999997,69.10082245,32.90881348,46.60243607,89.01058197,24.36527824,28.9221611,,,
02-05-2016,02-05-2016,24.75759315,85.93829346,33.50159073,0.060699999,64.3449173,38.89622498,51.7886467,106.9600296,23.57636452,46.05072784,,,
02-05-2017,02-05-2017,26.87218666,116.6819153,38.29678726,0.052000001,61.33004761,47.04598618,60.2383194,112.2198105,34.58804321,54.57970428,,,
02-05-2018,02-05-2018,30.23383141,180.4562073,41.04150009,0.189999998,59.65493011,65.05924225,73.73622894,110.1672211,48.32463074,77.71685791,,,
02-05-2019,02-05-2019,22.88336563,140.6013031,50.90179443,0.150000006,62.57778931,76.04978943,95.16499329,116.5209122,44.28387833,100.9819641,,,
02-05-2022,02-05-2022,39.4355011,71.70999908,71.68249512,0.239999995,84.03429413,81.04623413,114.1041718,120.1091843,55.76733398,173.9803619,,,
02-06-2014,02-06-2014,22.54096603,188.5056763,23.54987335,0.086999997,68.15823364,33.62361908,47.77666092,94.96214294,24.39976692,29.18646049,,,
02-06-2015,02-06-2015,23.8319416,89.56624603,26.61697388,0.090000004,59.82542038,33.36149597,56.15625763,104.6143417,25.98615646,47.16444778,,,
02-06-2016,02-06-2016,24.02897835,91.10202789,34.23761368,0.060699999,64.44889832,41.77005768,52.74164581,113.3999481,24.63576508,46.14660645,,,
02-06-2017,02-06-2017,26.72067833,125.9406509,41.2966156,0.052000001,59.98514175,49.63406754,67.18469238,115.2990265,34.76045609,60.40784836,,,
02-06-2020,02-06-2020,19.75163078,84.09999847,61.7346611,0.167099997,41.04905701,65.99337006,88.15006256,122.4716721,31.16847229,139.3100433,,,
02-06-2021,02-06-2021,34.74927521,134.6499939,67.42196655,0.204139993,56.97509766,116.7459259,116.0957947,154.603363,55.90493393,171.2688141,,,
02-06-2022,02-06-2022,38.30402374,66.66999817,74.45431519,0.192300007,95.95765686,85.99621582,119.1668625,121.5228119,56.2446785,172.0181274,,,
02-07-2013,02-07-2013,19.85287857,104.4824448,20.95946121,0.086999997,60.13935089,24.25382233,42.03541565,68.54914856,24.85434723,27.78520966,,,
02-07-2014,02-07-2014,23.58020973,182.9807434,24.4319973,0.086999997,69.2698822,34.62704849,50.10065842,95.33589935,24.82279205,30.90443039,,,
